227834
n5 n23 3593 2366 1
n23 n5 -3593 10278 1
n5 n16 217 3711 1
n16 n5 -217 6263 1
n16 n4 1824 0 1
n4 n16 -1824 6534 1
n5 n26 -3481 8706 1
n26 n5 3481 9 1
n4 n19 901 4202 1
n19 n4 -901 1093 1
n23 n15 6490 2096 1
n15 n23 -6490 9040 1
n23 n29 -1735 4605 1
n29 n23 1735 1280 1
n5 n8 1238 5689 1
n8 n5 -1238 4369 1
n26 n9 376 3022 1
n9 n26 -376 772 1
n5 n1 4068 506 1
n1 n5 -4068 11390 1
n16 n25 569 1536 1
n25 n16 -569 3798 1
n15 n21 1161 1694 1
n21 n15 -1161 5994 1
n5 n20 -3673 6400 1
n20 n5 3673 429 1
n15 n7 2175 2100 1
n7 n15 -2175 8587 1
n23 n3 -28 2867 1
n3 n23 28 2719 1
n1 n27 -616 887 1
n27 n1 616 4197 1
n15 n18 -1747 4923 1
n18 n15 1747 3404 1
n7 n17 6157 517 1
n17 n7 -6157 8462 1
n4 n28 5225 236 1
n28 n4 -5225 7494 1
n21 n22 -148 3463 1
n22 n21 148 3424 1
n18 n14 5598 889 1
n14 n18 -5598 6652 1
n5 n11 -3543 3543 1
n11 n5 3543 574 1
n17 n12 -3042 3664 1
n12 n17 3042 3342 1
n1 n24 963 450 1
n24 n1 -963 9873 1
n24 n0 4393 0 1
n0 n24 -4393 9433 1
n0 n10 -5494 6658 1
n10 n0 5494 1573 1
n29 n6 -2200 3725 1
n6 n29 2200 2308 1
n5 n13 8607 1310 1
n13 n5 -8607 9530 1
n18 n2 -2838 3667 1
n2 n18 2838 1581 1
